-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
519 910	920	1123.067	-1	-1	30808	2
520 767	750	475.629	-1	-1	-1	-1
521 744	739	4101.546	-1	-1	-1	-1
522 760	744	287.534	-1	-1	-1	-1
523 723	760	560.438	11961	1	-1	-1
524 705	723	1500.895	31829	2	11961	1
525 706	705	57.057	2170	1	31829	2
526 669	706	857.132	-1	-1	2170	1
527 651	669	248.099	-1	-1	-1	-1
528 632	651	334.657	-1	-1	-1	-1
529 636	632	258.394	11966	1	-1	-1
530 694	636	2680.677	2288	1	11966	1
531 692	694	42.453	23827	1	2288	1
532 702	692	230.401	-1	-1	23827	1
533 766	702	1095.586	-1	-1	-1	-1
534 773	766	96.992	-1	-1	-1	-1
535 778	766	114.927	-1	-1	-1	-1
536 798	778	320.214	30003	2	-1	-1
537 818	798	440.022	23843	1	30003	2
538 895	818	1660.65	23839	1	23843	1
539 928	895	1129.97	-1	-1	23839	1
540 903	928	1446.051	23812	1	-1	-1
541 890	903	716.898	23828	1	23812	1
542 877	890	339.321	23830	1	23828	1
543 879	877	131.47	23856	1	23830	1
544 892	879	568.083	-1	-1	23856	1
545 908	892	490.745	23836	1	-1	-1
546 905	908	412.471	23834	1	23836	1
547 913	905	219.534	23818	1	23834	1
548 915	913	116.745	-1	-1	23818	1
549 923	915	179.502	30004	2	-1	-1
550 1004	923	1643.531	-1	-1	30004	2
551 1016	1004	1116.595	-1	-1	-1	-1
552 951	1016	1002.13	23832	1	-1	-1
553 943	951	128.616	-1	-1	23832	1
554 926	943	1292.003	14715	1	-1	-1
555 1002	926	1339.976	-1	-1	14715	1
556 900	943	618.012	23822	1	-1	-1
557 854	900	1042.519	-1	-1	23822	1
558 1068	1016	671.197	23811	1	-1	-1
559 1116	1068	942.099	-1	-1	23811	1
560 1144	1116	857.617	23814	1	-1	-1
561 1176	1144	2031.549	-1	-1	23814	1
562 1138	1116	945.18	23846	1	-1	-1
563 1179	1138	867.709	-1	-1	23846	1
564 1234	1179	1004.066	14713	1	-1	-1
565 1255	1234	245.072	14712	1	14713	1
566 1260	1255	36.825	14702	1	14712	1
567 1310	1260	479.736	-1	-1	14702	1
568 1146	1179	686.098	23820	1	-1	-1
569 1117	1146	296.692	-1	-1	23820	1
570 1136	1117	446.989	14732	1	-1	-1
571 1149	1136	192.209	14728	1	14732	1
572 1181	1149	2033.671	-1	-1	14728	1
573 1079	1117	1233.738	14726	1	-1	-1
574 1055	1079	378.33	-1	-1	14726	1
575 1005	1004	348.476	23852	1	-1	-1
576 1011	1005	80.029	23851	1	23852	1
577 1026	1011	616.992	23819	1	23851	1
578 1033	1026	141.39	23835	1	23819	1
579 1097	1033	1038.228	-1	-1	23835	1
580 912	915	62.666	23813	1	-1	-1
581 897	912	195.236	23826	1	23813	1
582 887	897	424.618	23849	1	23826	1
583 886	887	119.99	23850	1	23849	1
584 882	886	260.69	23833	1	23850	1
585 878	882	412.161	-1	-1	23833	1
586 870	892	440.305	23837	1	-1	-1
587 864	870	239.162	30002	2	23837	1
588 846	864	237.683	23808	1	30002	2
589 811	846	575.915	-1	-1	23808	1
590 936	928	2094.541	23840	1	-1	-1
591 975	936	1130.512	-1	-1	23840	1
592 1031	975	1309.449	23825	1	-1	-1
593 1112	1031	1390.893	-1	-1	23825	1
594 1115	1112	122.212	23817	1	-1	-1
595 1114	1115	120.389	23853	1	23817	1
596 1125	1114	254.055	23841	1	23853	1
597 1130	1125	96.591	23847	1	23841	1
598 1128	1130	577.248	23815	1	23847	1
599 1126	1128	75.842	-1	-1	23815	1
600 1151	1126	433.77	23816	1	-1	-1
601 1165	1151	152.078	23824	1	23816	1
602 1170	1165	109.846	23845	1	23824	1
603 1171	1170	171.081	23844	1	23845	1
604 1199	1171	282.873	-1	-1	23844	1
605 1082	1126	1467.374	23831	1	-1	-1
606 1083	1082	47.041	23855	1	23831	1
607 1091	1083	464.42	23838	1	23855	1
608 1072	1091	635.274	-1	-1	23838	1
609 1256	1112	1733.818	14548	1	-1	-1
610 1261	1256	33.324	31819	2	14548	1
